fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file1135.TextGrid,1,0.130,29,48,61,66,67,70,74,76,75,73,65.323
file1135.TextGrid,2,0.520,73,74,74,76,73,69,56,45,47,37,63.272
file1136.TextGrid,1,0.190,26,44,67,71,75,79,79,76,73,67,67.715
file1136.TextGrid,2,0.520,67,80,81,70,68,69,62,46,36,26,61.997
file1137.TextGrid,1,0.230,1.0,48,58,58,60,71,71,72,72,64,60.834
file1137.TextGrid,2,0.790,64,65,50,76,77,71,64,53,51,21,60.996
file1138.TextGrid,1,0.360,25,63,60,66,73,76,69,68,64,50,64.965
file1138.TextGrid,2,0.690,50,-1,75,76,78,75,65,57,43,17,56.111
file1139.TextGrid,1,0.280,59,68,78,79,79,79,80,80,80,79,76.527
file1139.TextGrid,2,0.540,79,71,73,73,67,60,62,59,51,27,63.868
file114.TextGrid,1,0.380,-5,44,55,55,57,60,70,81,83,75,60.878
file114.TextGrid,2,0.580,75,80,81,78,74,65,58,50,42,21,65.033
file1140.TextGrid,1,0.320,33,57,65,63,59,55,58,83,86,82,65.226
file1140.TextGrid,2,0.230,82,81,77,80,81,81,80,80,80,81,80.160
file1141.TextGrid,1,0.230,45,73,78,76,67,68,70,69,61,58,68.545
file1141.TextGrid,2,0.740,58,84,83,81,78,67,58,47,42,46,66.021
file1142.TextGrid,1,0.180,59,73,82,82,82,82,82,83,83,77,79.614
file1142.TextGrid,2,0.420,77,80,82,82,70,60,48,49,43,37,63.469
file1143.TextGrid,1,0.170,15,43,53,55,67,72,74,73,70,63,60.893
file1143.TextGrid,2,0.570,63,68,72,72,75,68,52,37,43,49,59.281
file1144.TextGrid,1,0.130,55,58,57,57,57,58,58,59,60,62,58.024
file1144.TextGrid,2,0.440,62,80,81,76,76,81,76,71,58,50,72.764
file1145.TextGrid,1,0.350,32,63,77,74,65,62,57,50,44,64,60.943
file1145.TextGrid,2,0.460,64,65,76,75,68,62,56,47,33,25,59.919
file1146.TextGrid,1,0.470,11,51,50,48,74,77,79,81,80,71,65.965
file1146.TextGrid,2,0.540,71,56,55,76,72,67,65,66,63,52,64.562
file1147.TextGrid,1,0.190,20,29,42,44,62,74,73,73,73,71,57.225
file1147.TextGrid,2,0.280,71,75,78,75,70,65,58,50,40,36,62.472
file1148.TextGrid,1,0.240,35,52,56,55,57,53,73,78,79,75,62.538
file1148.TextGrid,2,0.420,75,71,82,82,81,81,81,78,69,49,76.695
file1149.TextGrid,1,0.170,71,76,81,82,81,79,78,75,72,70,77.195
file1149.TextGrid,2,0.460,70,70,73,71,73,68,71,70,57,23,66.520
file115.TextGrid,1,0.160,58,68,77,79,79,78,78,77,74,72,74.965
file115.TextGrid,2,0.550,72,71,75,76,73,60,55,48,45,37,62.129
